x,y,z
-1,-1,-0.999998
-1,-0.98,-0.999998
-1,-0.96,-0.999998
-1,-0.94,-0.999998
-1,-0.92,-0.999998
-1,-0.9,-0.999997
-1,-0.88,-0.999997
-1,-0.86,-0.999997
-1,-0.84,-0.999996
-1,-0.82,-0.999996
-1,-0.8,-0.999996
-1,-0.78,-0.999995
-1,-0.76,-0.999995
-1,-0.74,-0.999994
-1,-0.72,-0.999994
-1,-0.7,-0.999993
-1,-0.68,-0.999992
-1,-0.66,-0.999992
-1,-0.64,-0.999991
-1,-0.62,-0.99999
-1,-0.6,-0.999989
-1,-0.58,-0.999988
-1,-0.56,-0.999987
-1,-0.54,-0.999986
-1,-0.52,-0.999984
-1,-0.5,-0.999983
-1,-0.48,-0.999981
-1,-0.46,-0.999979
-1,-0.44,-0.999977
-1,-0.42,-0.999975
-1,-0.4,-0.999972
-1,-0.38,-0.99997
-1,-0.36,-0.999967
-1,-0.34,-0.999963
-1,-0.32,-0.99996
-1,-0.3,-0.999956
-1,-0.28,-0.999952
-1,-0.26,-0.999947
-1,-0.24,-0.999942
-1,-0.22,-0.999936
-1,-0.2,-0.99993
-1,-0.18,-0.999923
-1,-0.16,-0.999916
-1,-0.14,-0.999908
-1,-0.12,-0.999899
-1,-0.1,-0.999889
-1,-0.08,-0.999878
-1,-0.06,-0.999866
-1,-0.04,-0.999853
-1,-0.02,-0.999839
-1,6.17562e-16,-0.999823
-1,0.02,-0.999806
-1,0.04,-0.999787
-1,0.06,-0.999767
-1,0.08,-0.999744
-1,0.1,-0.999719
-1,0.12,-0.999692
-1,0.14,-0.999662
-1,0.16,-0.99963
-1,0.18,-0.999594
-1,0.2,-0.999554
-1,0.22,-0.999511
-1,0.24,-0.999463
-1,0.26,-0.999411
-1,0.28,-0.999354
-1,0.3,-0.999292
-1,0.32,-0.999223
-1,0.34,-0.999148
-1,0.36,-0.999065
-1,0.38,-0.998974
-1,0.4,-0.998875
-1,0.42,-0.998766
-1,0.44,-0.998646
-1,0.46,-0.998515
-1,0.48,-0.998371
-1,0.5,-0.998213
-1,0.52,-0.998039
-1,0.54,-0.997849
-1,0.56,-0.997641
-1,0.58,-0.997412
-1,0.6,-0.997161
-1,0.62,-0.996886
-1,0.64,-0.996585
-1,0.66,-0.996254
-1,0.68,-0.995891
-1,0.7,-0.995493
-1,0.72,-0.995057
-1,0.74,-0.994579
-1,0.76,-0.994054
-1,0.78,-0.993479
-1,0.8,-0.992848
-1,0.82,-0.992157
-1,0.84,-0.991399
-1,0.86,-0.990569
-1,0.88,-0.989658
-1,0.9,-0.98866
-1,0.92,-0.987567
-1,0.94,-0.986368
-1,0.96,-0.985056
-1,0.98,-0.983617
-0.98,-1,-0.999998
-0.98,-0.98,-0.999998
-0.98,-0.96,-0.999998
-0.98,-0.94,-0.999998
-0.98,-0.92,-0.999997
-0.98,-0.9,-0.999997
-0.98,-0.88,-0.999997
-0.98,-0.86,-0.999996
-0.98,-0.84,-0.999996
-0.98,-0.82,-0.999996
-0.98,-0.8,-0.999995
-0.98,-0.78,-0.999995
-0.98,-0.76,-0.999994
-0.98,-0.74,-0.999994
-0.98,-0.72,-0.999993
-0.98,-0.7,-0.999992
-0.98,-0.68,-0.999992
-0.98,-0.66,-0.999991
-0.98,-0.64,-0.99999
-0.98,-0.62,-0.999989
-0.98,-0.6,-0.999988
-0.98,-0.58,-0.999987
-0.98,-0.56,-0.999986
-0.98,-0.54,-0.999984
-0.98,-0.52,-0.999983
-0.98,-0.5,-0.999981
-0.98,-0.48,-0.999979
-0.98,-0.46,-0.999977
-0.98,-0.44,-0.999975
-0.98,-0.42,-0.999972
-0.98,-0.4,-0.99997
-0.98,-0.38,-0.999967
-0.98,-0.36,-0.999963
-0.98,-0.34,-0.99996
-0.98,-0.32,-0.999956
-0.98,-0.3,-0.999952
-0.98,-0.28,-0.999947
-0.98,-0.26,-0.999942
-0.98,-0.24,-0.999936
-0.98,-0.22,-0.99993
-0.98,-0.2,-0.999923
-0.98,-0.18,-0.999916
-0.98,-0.16,-0.999908
-0.98,-0.14,-0.999899
-0.98,-0.12,-0.999889
-0.98,-0.1,-0.999878
-0.98,-0.08,-0.999866
-0.98,-0.06,-0.999853
-0.98,-0.04,-0.999839
-0.98,-0.02,-0.999823
-0.98,6.17562e-16,-0.999806
-0.98,0.02,-0.999787
-0.98,0.04,-0.999767
-0.98,0.06,-0.999744
-0.98,0.08,-0.999719
-0.98,0.1,-0.999692
-0.98,0.12,-0.999662
-0.98,0.14,-0.99963
-0.98,0.16,-0.999594
-0.98,0.18,-0.999554
-0.98,0.2,-0.999511
-0.98,0.22,-0.999463
-0.98,0.24,-0.999411
-0.98,0.26,-0.999354
-0.98,0.28,-0.999292
-0.98,0.3,-0.999223
-0.98,0.32,-0.999148
-0.98,0.34,-0.999065
-0.98,0.36,-0.998974
-0.98,0.38,-0.998875
-0.98,0.4,-0.998766
-0.98,0.42,-0.998646
-0.98,0.44,-0.998515
-0.98,0.46,-0.998371
-0.98,0.48,-0.998213
-0.98,0.5,-0.998039
-0.98,0.52,-0.997849
-0.98,0.54,-0.997641
-0.98,0.56,-0.997412
-0.98,0.58,-0.997161
-0.98,0.6,-0.996886
-0.98,0.62,-0.996585
-0.98,0.64,-0.996254
-0.98,0.66,-0.995891
-0.98,0.68,-0.995493
-0.98,0.7,-0.995057
-0.98,0.72,-0.994579
-0.98,0.74,-0.994054
-0.98,0.76,-0.993479
-0.98,0.78,-0.992848
-0.98,0.8,-0.992157
-0.98,0.82,-0.991399
-0.98,0.84,-0.990569
-0.98,0.86,-0.989658
-0.98,0.88,-0.98866
-0.98,0.9,-0.987567
-0.98,0.92,-0.986368
-0.98,0.94,-0.985056
-0.98,0.96,-0.983617
-0.98,0.98,-0.982042
-0.96,-1,-0.999998
-0.96,-0.98,-0.999998
-0.96,-0.96,-0.999998
-0.96,-0.94,-0.999997
-0.96,-0.92,-0.999997
-0.96,-0.9,-0.999997
-0.96,-0.88,-0.999996
-0.96,-0.86,-0.999996
-0.96,-0.84,-0.999996
-0.96,-0.82,-0.999995
-0.96,-0.8,-0.999995
-0.96,-0.78,-0.999994
-0.96,-0.76,-0.999994
-0.96,-0.74,-0.999993
-0.96,-0.72,-0.999992
-0.96,-0.7,-0.999992
-0.96,-0.68,-0.999991
-0.96,-0.66,-0.99999
-0.96,-0.64,-0.999989
-0.96,-0.62,-0.999988
-0.96,-0.6,-0.999987
-0.96,-0.58,-0.999986
-0.96,-0.56,-0.999984
-0.96,-0.54,-0.999983
-0.96,-0.52,-0.999981
-0.96,-0.5,-0.999979
-0.96,-0.48,-0.999977
-0.96,-0.46,-0.999975
-0.96,-0.44,-0.999972
-0.96,-0.42,-0.99997
-0.96,-0.4,-0.999967
-0.96,-0.38,-0.999963
-0.96,-0.36,-0.99996
-0.96,-0.34,-0.999956
-0.96,-0.32,-0.999952
-0.96,-0.3,-0.999947
-0.96,-0.28,-0.999942
-0.96,-0.26,-0.999936
-0.96,-0.24,-0.99993
-0.96,-0.22,-0.999923
-0.96,-0.2,-0.999916
-0.96,-0.18,-0.999908
-0.96,-0.16,-0.999899
-0.96,-0.14,-0.999889
-0.96,-0.12,-0.999878
-0.96,-0.1,-0.999866
-0.96,-0.08,-0.999853
-0.96,-0.06,-0.999839
-0.96,-0.04,-0.999823
-0.96,-0.02,-0.999806
-0.96,6.17562e-16,-0.999787
-0.96,0.02,-0.999767
-0.96,0.04,-0.999744
-0.96,0.06,-0.999719
-0.96,0.08,-0.999692
-0.96,0.1,-0.999662
-0.96,0.12,-0.99963
-0.96,0.14,-0.999594
-0.96,0.16,-0.999554
-0.96,0.18,-0.999511
-0.96,0.2,-0.999463
-0.96,0.22,-0.999411
-0.96,0.24,-0.999354
-0.96,0.26,-0.999292
-0.96,0.28,-0.999223
-0.96,0.3,-0.999148
-0.96,0.32,-0.999065
-0.96,0.34,-0.998974
-0.96,0.36,-0.998875
-0.96,0.38,-0.998766
-0.96,0.4,-0.998646
-0.96,0.42,-0.998515
-0.96,0.44,-0.998371
-0.96,0.46,-0.998213
-0.96,0.48,-0.998039
-0.96,0.5,-0.997849
-0.96,0.52,-0.997641
-0.96,0.54,-0.997412
-0.96,0.56,-0.997161
-0.96,0.58,-0.996886
-0.96,0.6,-0.996585
-0.96,0.62,-0.996254
-0.96,0.64,-0.995891
-0.96,0.66,-0.995493
-0.96,0.68,-0.995057
-0.96,0.7,-0.994579
-0.96,0.72,-0.994054
-0.96,0.74,-0.993479
-0.96,0.76,-0.992848
-0.96,0.78,-0.992157
-0.96,0.8,-0.991399
-0.96,0.82,-0.990569
-0.96,0.84,-0.989658
-0.96,0.86,-0.98866
-0.96,0.88,-0.987567
-0.96,0.9,-0.986368
-0.96,0.92,-0.985056
-0.96,0.94,-0.983617
-0.96,0.96,-0.982042
-0.96,0.98,-0.980316
-0.94,-1,-0.999998
-0.94,-0.98,-0.999998
-0.94,-0.96,-0.999997
-0.94,-0.94,-0.999997
-0.94,-0.92,-0.999997
-0.94,-0.9,-0.999996
-0.94,-0.88,-0.999996
-0.94,-0.86,-0.999996
-0.94,-0.84,-0.999995
-0.94,-0.82,-0.999995
-0.94,-0.8,-0.999994
-0.94,-0.78,-0.999994
-0.94,-0.76,-0.999993
-0.94,-0.74,-0.999992
-0.94,-0.72,-0.999992
-0.94,-0.7,-0.999991
-0.94,-0.68,-0.99999
-0.94,-0.66,-0.999989
-0.94,-0.64,-0.999988
-0.94,-0.62,-0.999987
-0.94,-0.6,-0.999986
-0.94,-0.58,-0.999984
-0.94,-0.56,-0.999983
-0.94,-0.54,-0.999981
-0.94,-0.52,-0.999979
-0.94,-0.5,-0.999977
-0.94,-0.48,-0.999975
-0.94,-0.46,-0.999972
-0.94,-0.44,-0.99997
-0.94,-0.42,-0.999967
-0.94,-0.4,-0.999963
-0.94,-0.38,-0.99996
-0.94,-0.36,-0.999956
-0.94,-0.34,-0.999952
-0.94,-0.32,-0.999947
-0.94,-0.3,-0.999942
-0.94,-0.28,-0.999936
-0.94,-0.26,-0.99993
-0.94,-0.24,-0.999923
-0.94,-0.22,-0.999916
-0.94,-0.2,-0.999908
-0.94,-0.18,-0.999899
-0.94,-0.16,-0.999889
-0.94,-0.14,-0.999878
-0.94,-0.12,-0.999866
-0.94,-0.1,-0.999853
-0.94,-0.08,-0.999839
-0.94,-0.06,-0.999823
-0.94,-0.04,-0.999806
-0.94,-0.02,-0.999787
-0.94,6.17562e-16,-0.999767
-0.94,0.02,-0.999744
-0.94,0.04,-0.999719
-0.94,0.06,-0.999692
-0.94,0.08,-0.999662
-0.94,0.1,-0.99963
-0.94,0.12,-0.999594
-0.94,0.14,-0.999554
-0.94,0.16,-0.999511
-0.94,0.18,-0.999463
-0.94,0.2,-0.999411
-0.94,0.22,-0.999354
-0.94,0.24,-0.999292
-0.94,0.26,-0.999223
-0.94,0.28,-0.999148
-0.94,0.3,-0.999065
-0.94,0.32,-0.998974
-0.94,0.34,-0.998875
-0.94,0.36,-0.998766
-0.94,0.38,-0.998646
-0.94,0.4,-0.998515
-0.94,0.42,-0.998371
-0.94,0.44,-0.998213
-0.94,0.46,-0.998039
-0.94,0.48,-0.997849
-0.94,0.5,-0.997641
-0.94,0.52,-0.997412
-0.94,0.54,-0.997161
-0.94,0.56,-0.996886
-0.94,0.58,-0.996585
-0.94,0.6,-0.996254
-0.94,0.62,-0.995891
-0.94,0.64,-0.995493
-0.94,0.66,-0.995057
-0.94,0.68,-0.994579
