x,y,z
-1,-1,-0.979236
-1,-0.98,-0.977244
-1,-0.96,-0.975064
-1,-0.94,-0.972677
-1,-0.92,-0.970066
-1,-0.9,-0.967209
-1,-0.88,-0.964085
-1,-0.86,-0.960668
-1,-0.84,-0.956934
-1,-0.82,-0.952854
-1,-0.8,-0.948397
-1,-0.78,-0.943532
-1,-0.76,-0.938222
-1,-0.74,-0.93243
-1,-0.72,-0.926116
-1,-0.7,-0.919237
-1,-0.68,-0.911747
-1,-0.66,-0.903596
-1,-0.64,-0.894735
-1,-0.62,-0.885108
-1,-0.6,-0.874659
-1,-0.58,-0.863328
-1,-0.56,-0.851054
-1,-0.54,-0.837775
-1,-0.52,-0.823424
-1,-0.5,-0.807936
-1,-0.48,-0.791246
-1,-0.46,-0.773287
-1,-0.44,-0.753995
-1,-0.42,-0.733308
-1,-0.4,-0.711169
-1,-0.38,-0.687522
-1,-0.36,-0.662322
-1,-0.34,-0.635529
-1,-0.32,-0.607112
-1,-0.3,-0.577052
-1,-0.28,-0.545343
-1,-0.26,-0.511993
-1,-0.24,-0.477024
-1,-0.22,-0.440476
-1,-0.2,-0.402408
-1,-0.18,-0.362895
-1,-0.16,-0.322033
-1,-0.14,-0.279934
-1,-0.12,-0.236731
-1,-0.1,-0.192571
-1,-0.08,-0.147617
-1,-0.06,-0.102044
-1,-0.04,-0.0560393
-1,-0.02,-0.00979517
-1,6.17562e-16,0.0364909
-1,0.02,0.0826209
-1,0.04,0.1284
-1,0.06,0.173638
-1,0.08,0.218154
-1,0.1,0.261781
-1,0.12,0.304364
-1,0.14,0.345765
-1,0.16,0.385861
-1,0.18,0.424551
-1,0.2,0.46175
-1,0.22,0.497392
-1,0.24,0.531432
-1,0.26,0.563837
-1,0.28,0.594594
-1,0.3,0.623705
-1,0.32,0.651182
-1,0.34,0.677052
-1,0.36,0.701351
-1,0.38,0.724121
-1,0.4,0.745416
-1,0.42,0.765291
-1,0.44,0.783806
-1,0.46,0.801025
-1,0.48,0.817014
-1,0.5,0.831837
-1,0.52,0.845562
-1,0.54,0.858254
-1,0.56,0.869976
-1,0.58,0.88079
-1,0.6,0.890758
-1,0.62,0.899937
-1,0.64,0.908382
-1,0.66,0.916145
-1,0.68,0.923277
-1,0.7,0.929825
-1,0.72,0.935833
-1,0.74,0.941342
-1,0.76,0.946391
-1,0.78,0.951016
-1,0.8,0.955252
-1,0.82,0.959129
-1,0.84,0.962676
-1,0.86,0.965921
-1,0.88,0.968888
-1,0.9,0.971601
-1,0.92,0.97408
