x,y,z
-1,-1,-3.64378
-1,-0.98,-3.64122
-1,-0.96,-3.63844
-1,-0.94,-3.6354
-1,-0.92,-3.6321
-1,-0.9,-3.62849
-1,-0.88,-3.62455
-1,-0.86,-3.62025
-1,-0.84,-3.61555
-1,-0.82,-3.61041
-1,-0.8,-3.60479
-1,-0.78,-3.59862
-1,-0.76,-3.59186
-1,-0.74,-3.58444
-1,-0.72,-3.5763
-1,-0.7,-3.56735
-1,-0.68,-3.55752
-1,-0.66,-3.54671
-1,-0.64,-3.53482
-1,-0.62,-3.52174
-1,-0.6,-3.50736
-1,-0.58,-3.49153
-1,-0.56,-3.47414
-1,-0.54,-3.45505
-1,-0.52,-3.43409
-1,-0.5,-3.41113
-1,-0.48,-3.38602
-1,-0.46,-3.35862
-1,-0.44,-3.32881
-1,-0.42,-3.29646
-1,-0.4,-3.26151
-1,-0.38,-3.22389
-1,-0.36,-3.18361
-1,-0.34,-3.1407
-1,-0.32,-3.09528
-1,-0.3,-3.0475
-1,-0.28,-2.99761
-1,-0.26,-2.94589
-1,-0.24,-2.8927
-1,-0.22,-2.83846
-1,-0.2,-2.78361
-1,-0.18,-2.72861
-1,-0.16,-2.67395
-1,-0.14,-2.62009
-1,-0.12,-2.56745
-1,-0.1,-2.51643
-1,-0.08,-2.46735
-1,-0.06,-2.42048
-1,-0.04,-2.37604
-1,-0.02,-2.33416
-1,6.17562e-16,-2.29492
-1,0.02,-2.25834
-1,0.04,-2.2244
-1,0.06,-2.19304
-1,0.08,-2.16416
-1,0.1,-2.13765
-1,0.12,-2.11339
-1,0.14,-2.09122
-1,0.16,-2.071
-1,0.18,-2.0526
-1,0.2,-2.03586
-1,0.22,-2.02066
-1,0.24,-2.00685
-1,0.26,-1.99433
-1,0.28,-1.98298
-1,0.3,-1.9727
-1,0.32,-1.96338
-1,0.34,-1.95494
-1,0.36,-1.9473
-1,0.38,-1.9404
-1,0.4,-1.93416
-1,0.42,-1.92852
-1,0.44,-1.92344
-1,0.46,-1.91886
-1,0.48,-1.91475
-1,0.5,-1.91106
-1,0.52,-1.90777
-1,0.54,-1.90484
-1,0.56,-1.90224
-1,0.58,-1.89995
-1,0.6,-1.89795
-1,0.62,-1.89622
-1,0.64,-1.89475
-1,0.66,-1.89351
-1,0.68,-1.8925
-1,0.7,-1.8917
-1,0.72,-1.89111
-1,0.74,-1.89072
-1,0.76,-1.89051
-1,0.78,-1.89049
-1,0.8,-1.89065
-1,0.82,-1.89098
-1,0.84,-1.89148
-1,0.86,-1.89216
-1,0.88,-1.89301
-1,0.9,-1.89402
-1,0.92,-1.89521
